Phase X,Phase Y,Magnitude X,Magnitude Y
1000,-0.06831178149042001,1000,52.32724996201629
1023.292992280754,-0.0680321850481227,1023.292992280754,52.32724945319467
1047.1285480509,-0.06778865971899677,1047.1285480509,52.32724896214322
1071.519305237606,-0.0675810764107594,1071.519305237606,52.32724848781825
1096.478196143185,-0.06740932508602163,1096.478196143185,52.32724802921388
1122.018454301963,-0.06727331470413833,1122.018454301963,52.32724758536052
1148.153621496883,-0.06717297317293223,1148.153621496883,52.32724715531273
1174.897554939529,-0.06710824731069995,1174.897554939529,52.32724673816038
1202.264434617413,-0.06707910281806108,1202.264434617413,52.32724633302166
1230.268770812381,-0.06708552425980258,1230.268770812381,52.32724593903099
1258.925411794167,-0.06712751505691583,1258.925411794167,52.32724555535597
1288.249551693134,-0.06720509748833431,1288.249551693134,52.32724518118172
1318.256738556407,-0.06731831270298028,1318.256738556407,52.32724481571763
1348.962882591653,-0.06746722074146139,1348.962882591653,52.3272444581841
1380.384264602884,-0.06765190056813014,1380.384264602884,52.32724410782688
1412.537544622754,-0.06787245011294259,1412.537544622754,52.32724376390051
1445.439770745927,-0.06812898632337432,1445.439770745927,52.32724342567417
1479.108388168207,-0.068421645226592,1479.108388168207,52.32724309243356
1513.561248436208,-0.06875058200147814,1513.561248436208,52.3272427634686
1548.816618912481,-0.06911597106109414,1548.816618912481,52.32724243808607
1584.893192461113,-0.0695180061450186,1584.893192461113,52.32724211559251
1621.810097358929,-0.06995690042226442,1621.810097358929,52.3272417953015
1659.58690743756,-0.07043288660422639,1659.58690743756,52.32724147654017
1698.243652461744,-0.07094621706804538,1698.243652461744,52.32724115862557
1737.800828749375,-0.07149716399060442,1737.800828749375,52.3272408408884
1778.279410038922,-0.07208601949264785,1778.279410038922,52.32724052265402
1819.700858609983,-0.07271309579383749,1819.700858609983,52.32724020324489
1862.087136662866,-0.07337872537819801,1862.087136662866,52.32723988198322
1905.460717963246,-0.07408326117043315,1905.460717963246,52.3272395581905
1949.844599758044,-0.07482707672309816,1949.844599758044,52.32723923117879
1995.262314968878,-0.0756105664145659,1995.262314968878,52.32723890025424
2041.737944669528,-0.07643414565818826,2041.737944669528,52.32723856471797
2089.296130854038,-0.07729825112244712,2089.296130854038,52.32723822384937
2137.96208950223,-0.07820334096261708,2137.96208950223,52.32723787693416
2187.761623949551,-0.07914989506353816,2187.761623949551,52.32723752323441
2238.721138568338,-0.08013841529405305,2238.721138568338,52.32723716199931
2290.867652767771,-0.08116942577306381,2290.867652767771,52.32723679246025
2344.22881531992,-0.0822434731474645,2344.22881531992,52.32723641383799
2398.832919019488,-0.08336112688183875,2398.832919019488,52.32723602532589
2454.708915685028,-0.08452297956042303,2454.708915685028,52.32723562610228
2511.886431509578,-0.08572964720119444,2511.886431509578,52.32723521531639
2570.395782768861,-0.08698176958252087,2570.395782768861,52.3272347921009
2630.267991895379,-0.08828001058225712,2630.267991895379,52.32723435555988
2691.534803926913,-0.08962505852958838,2691.534803926913,52.32723390475832
2754.228703338164,-0.09101762657017863,2754.228703338164,52.32723343874995
2818.382931264451,-0.09245845304390683,2818.382931264451,52.32723295654149
2884.031503126603,-0.09394830187648774,2884.031503126603,52.3272324571111
2951.209226666382,-0.09548796298426325,2951.209226666382,52.32723193939883
3019.951720402013,-0.09707825269304476,3019.951720402013,52.32723140230816
3090.295432513587,-0.09872001417074996,3090.295432513587,52.32723084469789
3162.277660168375,-0.1004141178743961,3162.277660168375,52.32723026538557
3235.936569296278,-0.1021614620114527,3235.936569296278,52.32722966314307
3311.311214825906,-0.1039629730160438,3311.311214825906,52.32722903669713
3388.441561392021,-0.1058196060397664,3388.441561392021,52.32722838470913
3467.368504525311,-0.107732345458332,3467.368504525311,52.3272277058046
3548.133892335749,-0.1097022053930123,3548.133892335749,52.32722699854084
3630.780547701007,-0.1117302302482918,3630.780547701007,52.3272262614161
3715.352290971719,-0.1138174952654006,3715.352290971719,52.3272254928671
3801.893963205605,-0.115965107092277,3801.893963205605,52.32722469126793
3890.451449942799,-0.1181742043699601,3890.451449942799,52.32722385491284
3981.071705534966,-0.1204459583361842,3981.071705534966,52.32722298203177
4073.80277804112,-0.1227815734460734,4073.80277804112,52.32722207077161
4168.693834703347,-0.1251822880104728,4168.693834703347,52.3272211191975
4265.795188015919,-0.1276493748523266,4265.795188015919,52.32722012529535
4365.158322401651,-0.1301841419809733,4365.158322401651,52.32721908695396
4466.835921509622,-0.1327879332856312,4466.835921509622,52.32721800197255
4570.881896148741,-0.1354621292473021,4570.881896148741,52.32721686804765
4677.351412871973,-0.1382081476705163,4677.351412871973,52.32721568277626
4786.300923226374,-0.1410274444345231,4786.300923226374,52.32721444364241
4897.788193684452,-0.1439215142648675,4897.788193684452,52.32721314802147
5011.872336272713,-0.1468918915252864,5011.872336272713,52.32721179316152
5128.613839913639,-0.1499401510307932,5128.613839913639,52.32721037619047
5248.074602497716,-0.1530679088821691,5248.074602497716,52.32720889410092
5370.317963702517,-0.1562768233221233,5370.317963702517,52.32720734375239
5495.408738576235,-0.1595685956138873,5495.408738576235,52.32720572185375
5623.41325190348,-0.1629449709426904,5623.41325190348,52.32720402496972
5754.399373371558,-0.1664077393400067,5754.399373371558,52.32720224949424
5888.436553555878,-0.1699587366322096,5888.436553555878,52.32720039166136
6025.595860743566,-0.1735998454131042,6025.595860743566,52.32719844753917
6165.95001861481,-0.1773329960407239,6165.95001861481,52.32719641299678
6309.57344480192,-0.1811601676603415,6309.57344480192,52.32719428372047
