Phase X,Phase Y,Magnitude X,Magnitude Y
1000,-0.04497520545703135,1000,52.32725328095555
1023.292992280754,-0.04415203137902531,1023.292992280754,52.32725281765137
1047.1285480509,-0.04335226685195966,1047.1285480509,52.32725237426059
1071.519305237606,-0.04257548785901975,1071.519305237606,52.32725194984297
1096.478196143185,-0.04182128256857869,1096.478196143185,52.32725154349818
1122.018454301963,-0.04108925111612604,1122.018454301963,52.32725115436763
1148.153621496883,-0.0403790053922163,1148.153621496883,52.32725078162098
1174.897554939529,-0.03969016883694618,1174.897554939529,52.32725042447005
1202.264434617413,-0.03902237624032804,1202.264434617413,52.32725008216114
1230.268770812381,-0.03837527354870363,1230.268770812381,52.32724975396016
1258.925411794167,-0.03774851767722474,1258.925411794167,52.32724943917738
1288.249551693134,-0.03714177632792947,1288.249551693134,52.32724913714128
1318.256738556407,-0.03655472781368562,1318.256738556407,52.32724884721483
1348.962882591653,-0.03598706088765872,1348.962882591653,52.3272485687806
1380.384264602884,-0.03543847457839528,1380.384264602884,52.32724830124656
1412.537544622754,-0.03490867803028352,1412.537544622754,52.32724804404875
1445.439770745927,-0.03439739034939943,1445.439770745927,52.32724779664072
1479.108388168207,-0.03390434045460604,1479.108388168207,52.32724755849452
1513.561248436208,-0.03342926693392691,1513.561248436208,52.32724732911012
1548.816618912481,-0.03297191790591415,1548.816618912481,52.32724710799723
1584.893192461113,-0.03253205088620579,1584.893192461113,52.32724689468786
1621.810097358929,-0.03210943265896752,1621.810097358929,52.3272466887289
1659.58690743756,-0.03170383915325568,1659.58690743756,52.32724648968468
1698.243652461744,-0.03131505532427392,1698.243652461744,52.32724629713321
1737.800828749375,-0.03094287503938077,1737.800828749375,52.32724611066658
1778.279410038922,-0.03058710096881692,1778.279410038922,52.32724592988605
1819.700858609983,-0.03024754448108335,1819.700858609983,52.32724575441211
1862.087136662866,-0.02992402554297681,1862.087136662866,52.32724558386903
1905.460717963246,-0.02961637262414431,1905.460717963246,52.32724541789416
1949.844599758044,-0.02932442260617086,1949.844599758044,52.3272452561441
1995.262314968878,-0.02904802069604103,1995.262314968878,52.32724509826591
2041.737944669528,-0.0287870203441813,2041.737944669528,52.3272449439277
2089.296130854038,-0.02854128316667022,2089.296130854038,52.32724479280351
2137.96208950223,-0.02831067887194517,2137.96208950223,52.32724464457176
2187.761623949551,-0.0280950851916677,2187.761623949551,52.32724449891975
2238.721138568338,-0.02789438781599151,2238.721138568338,52.32724435553655
2290.867652767771,-0.02770848033284565,2290.867652767771,52.32724421412065
2344.22881531992,-0.02753726417158619,2344.22881531992,52.32724407436444
2398.832919019488,-0.02738064855072566,2398.832919019488,52.32724393598389
2454.708915685028,-0.02723855042976807,2454.708915685028,52.32724379867373
2511.886431509578,-0.02711089446520629,2511.886431509578,52.32724366214921
2570.395782768861,-0.02699761297055814,2570.395782768861,52.32724352612087
2630.267991895379,-0.02689864588045912,2630.267991895379,52.32724339029735
2691.534803926913,-0.02681394071882924,2691.534803926913,52.32724325439195
2754.228703338164,-0.0267434525710121,2754.228703338164,52.3272431181157
2818.382931264451,-0.02668714405996288,2818.382931264451,52.32724298118195
2884.031503126603,-0.02664498532641614,2884.031503126603,52.32724284329505
2951.209226666382,-0.0266169540130289,2951.209226666382,52.32724270416806
3019.951720402013,-0.02660303525248259,3019.951720402013,52.32724256350272
3090.295432513587,-0.02660322165964658,3090.295432513587,52.32724242100065
3162.277660168375,-0.02661751332757477,3162.277660168375,52.3272422763622
3235.936569296278,-0.02664591782751751,3235.936569296278,52.32724212927961
3311.311214825906,-0.02668845021298863,3311.311214825906,52.32724197944022
3388.441561392021,-0.0267451330276245,3388.441561392021,52.32724182652482
3467.368504525311,-0.02681599631714541,3467.368504525311,52.32724167020972
3548.133892335749,-0.02690107764523558,3548.133892335749,52.32724151016426
3630.780547701007,-0.02700042211340842,3630.780547701007,52.32724134604921
3715.352290971719,-0.02711408238492746,3715.352290971719,52.32724117751552
3801.893963205605,-0.0272421187125544,3801.893963205605,52.32724100420835
3890.451449942799,-0.02738459897062508,3890.451449942799,52.32724082575574
3981.071705534966,-0.02754159869078806,3981.071705534966,52.32724064177986
4073.80277804112,-0.02771320110212577,4073.80277804112,52.3272404518969
4168.693834703347,-0.02789949717515791,4168.693834703347,52.32724025569504
4265.795188015919,-0.02810058566999614,4265.795188015919,52.32724005276399
4365.158322401651,-0.02831657318867934,4365.158322401651,52.32723984267174
4466.835921509622,-0.02854757423152881,4466.835921509622,52.32723962497165
4570.881896148741,-0.02879371125786987,4570.881896148741,52.32723939920326
4677.351412871973,-0.02905511475075029,4677.351412871973,52.3272391648873
4786.300923226374,-0.0293319232861057,4786.300923226374,52.3272389215277
4897.788193684452,-0.02962428360609573,4897.788193684452,52.32723866860787
5011.872336272713,-0.02993235069678023,5011.872336272713,52.32723840558934
5128.613839913639,-0.03025628787016417,5128.613839913639,52.32723813191497
5248.074602497716,-0.03059626685063505,5248.074602497716,52.32723784700637
5370.317963702517,-0.0309524678659097,5370.317963702517,52.32723755025856
5495.408738576235,-0.03132507974241337,5495.408738576235,52.32723724104072
5623.41325190348,-0.03171430000516683,5623.41325190348,52.3272369186984
5754.399373371558,-0.0321203349824081,5754.399373371558,52.3272365825478
5888.436553555878,-0.03254339991479802,5888.436553555878,52.32723623187242
6025.595860743566,-0.03298371906923597,6025.595860743566,52.32723586593333
6165.95001861481,-0.03344152585766463,6165.95001861481,52.32723548395334
6309.57344480192,-0.03391706296047846,6309.57344480192,52.32723508512052
